address;LP wei;LP ether;BTT;SOY
0x7cb3e285fd78211eb8b5b5ea9856a6dc02157b95;1279423218902357104;1.279423218902357;47.125914358054146;0.05640552858787421
0x9c3bd546556d748d72e93e0fbbdae9e2ad224e0d;20093883507887352215;20.09388350788735;740.1324435285902;0.8858727150644694
0x81502c6072b3c2298ed5f18b911bf38b54a69ada;264649430933811260062;264.6494309338113;9748.022572073067;11.667516128954187
0x6f13fdc714827edf9aa132b06ea457f84721ae99;789047416457794224667;789.0474164577943;29063.55021783589;34.78648499468498
0x9d1546285064587ebb7c677edb816c993117eeea;71392333349695785;0.07139233334969579;2.6296450912824825;0.0031474513204208447
0x4b8703f1f31507f9747a69fc0eaca25e97146add;214531779364313767282576;214531.77936431376;7902003.115182789;9457.99500522026
0x540a623c7ed0c09e1b3916a83d93f2f59d44ea89;23869065960000836795041;23869.065960000837;879186.450284041;1052.3079951040288
0x69c4fa634740f1f68adac7b26969ade13f417dec;17962642497196714;0.017962642497196715;0.6616309126337966;0.0007919133637098064
0xbaea184b88a97385ed0c3d04518992d350da29b4;35181314266246801663689;35181.3142662468;1295858.617086319;1551.0275241887864
0x9bdbdb4a8f7f816c87a67f5281484ed902c6b942;50000000000000000000;50;1841.685912128608;2.20433425603553
0x615ff929f833d0ded0287fb4ef19dc83ef5bfad5;1057839810155744881209;1057.8398101557448;38964.17351305273;46.6366506184886
0xef24e642e001af91088de0995033e338a34fa37a;77590893117205137072672;77590.89311720514;2857961.095268666;3420.7252730929345
0xdd2db05e5d94ea9a43dd7d1c7178e2c336ba16ea;25544625696657606622585;25544.625696657607;940903.5455226549;1126.1778696149565
0x8a0ac422bf3b8c7757a041760f037a637f17ed06;6677598911197264412459;6677.598911197264;245960.79683194667;294.3932005603537
0x4751c1fc6f601e334f30011eaccb321c09c37334;24667340053960791987266;24667.340053960794;908589.8533413067;1087.501253724462
0x454c91fa18918ae74ec435293cae72efe5544a6a;120003743768618458856;120.00374376861846;4420.184086027117;5.290567264833519
0x17e4fbba5f69a560f22a7e96d11de9c2cf18ccab;57113739867442110956135;57113.73986744211;2103711.4020569236;2517.955465602096
0x5c300dbc6abf06c622b0a043425e158dea14e795;406605342012477266021;406.60534201247725;14976.786603612276;17.925881681702926
0x1c37db8ee00271d0abd6457a19b68770d360ec15;12212419237766070115;12.21241923776607;449.8288092640433;0.5384050814975013
0xf801ad6bf896946b3cd759ac9386442ad7825a88;3648627208405044653863054;3648627.208405045;134392506.56657404;160855.87885981056
0x5d728762afe38ed6bc216b0f41f0d98ba69f122e;63871986407293853;0.06387198640729386;2.352642750919661;0.002815904152772672
0xd5ffac90a77349cc8cbbc2ec847aa0f1c517b0a5;598;5.98e-16;2.202656350905815e-14;2.6363837702184937e-17
