address;LP wei;LP ether;TWT;SOY
0x69c4fa634740f1f68adac7b26969ade13f417dec;80420294583543;0.000080420294583543;0.0000016549257016259256;0.004315738891721369
0x58da30f4ec4f9211d22ac45a31e58288ff428d76;967654219587844695322;967.6542195878448;19.912832284133497;51928.968562472124
0x540a623c7ed0c09e1b3916a83d93f2f59d44ea89;106062538219014707427;106.06253821901471;2.1826035503511894;5691.824725548273
0x19bbae099b2d6f2e272c3eaadc55491f91fca21f;19357526714524741013;19.35752671452474;0.3983480618377773;1038.8177676049652
0xbaea184b88a97385ed0c3d04518992d350da29b4;186311967504281643558;186.31196750428165;3.834013107512619;9998.394165493393
0xfe5c5e85a0bc68b7c3db0be25fac35fc69e9fda9;1663978571079480486379;1663.9785710794804;34.24211411428647;89297.0744684169
0xdee625ff95fec111c9c21d9939e646c2ebf12413;144345041165575921622;144.34504116557594;2.9703984518361577;7746.247526341169
0x3fddeead436aa65c5040f850265b048ed6874363;335689624187668912974;335.6896241876689;6.907975029365359;18014.715988748958
0x11980e19b1e41bfa5194a6665f93789adf38e2f9;49814922827313787656;49.81492282731379;1.025114326406657;2673.307788130527
0x24ca0769ee44e2226008b2e7ebce76ae816ec457;1;1e-18;2.0578458586802856e-20;5.3664798345622213e-17
0x770ff38b15bec404286a922d560c0fbc62a047a9;215987639291248070760;215.98763929124806;4.444692690416261;11590.933107711815
0xff7f421cc3f13631441959119979d91703ff8794;959992;9.59992e-13;1.9755155615662045e-14;5.1517777093410556e-11
0x3be43e2eab3bfb12cfebffae9078c26272a68bc8;3923017723270066631545;3923.0177232700667;80.72965775360669;210527.95502559008
0x9d1546285064587ebb7c677edb816c993117eeea;544167301745960;0.00054416730174596;0.00001119812428327149;0.029202628514478295
0x1c37db8ee00271d0abd6457a19b68770d360ec15;18581784515562208;0.018581784515562208;0.0003823844831223914;0.9971877189294511
0x5c300dbc6abf06c622b0a043425e158dea14e795;677729783711410412;0.6777297837114105;0.013946634287148115;36.370232175695
0xd86bf3a51300baa53f51690ae46c8eba57bc4911;3433366216123938661;3.4333662161239387;0.07065338449183449;184.25090563496312
