address;LP wei;LP ether;WSG;SOY
0x28eccd72e5d6c904389d9583b2797dfbf389da3e;70510754790336464006671;70510.75479033646;49422284.00768234;106.17318445129852
0x19bbae099b2d6f2e272c3eaadc55491f91fca21f;307398419827583697774046;307398.4198275837;215461202.38545126;462.8722132593698
0xbaea184b88a97385ed0c3d04518992d350da29b4;8116370967415076419683151;8116370.967415077;5688913588.516435;12221.411533047825
0xcc5a28307c0942a01d53ee89b0f0288bf16f6ac2;2547542382726518116589898;2547542.382726518;1785619279.4290318;3836.0203078664626
0xf116da197d38d423700fd5df1d3440ca928cec10;83221336742527677143849;83221.33674252768;58331364.51620937;125.31243442963371
0x60edb80c3c5d208b439cd74573e3c972ce73d991;514534541940348917024894;514534.5419403489;360646717.4993819;774.7721746907764
0x97df6764c9b00a8996c28c90e8f021608a2b51d0;108498628318635063257;108.49862831863506;76048.68277402763;0.16337429533183917
0xcfbbc80bba07cb7f2eaaed0364aa313919690a15;118597370675751944261377;118597.37067575194;83127076.90521973;178.5807080017438
0x931ef4fea497cf7cef3d379e3c1beab91f614b99;29870522066879283400028;29870.522066879283;20936797.931559995;44.97822294618247
0x770ff38b15bec404286a922d560c0fbc62a047a9;1520362178930095259848188;1520362.1789300952;1065649795.1986165;2289.320182946702
0x562166d30627d579b0a206bbfb74bb90c14f2eac;119379436175837469469595;119379.43617583747;83675240.9884545;179.75832104588835
0xef24e642e001af91088de0995033e338a34fa37a;116500249946759242458254;116500.24994675924;81657166.44156264;175.4229204183027
0x07e9cd00e4995a99aa4fcf63750b5aa16a72b604;1490260066348726608;1.4902600663487267;1044.5506712188585;0.002243993237277509
0x60a1e3478784ede1d81fd87a403b28029dc36646;898802131752391297;0.8988021317523913;629.9869339686164;0.0013533919017534829
0xa4a88a143c14cff495655bde7fba848849cf800b;1510889631989446320;1.5108896319894463;1059.0103129441873;0.0022750566783714976
0x98f31b39d2b7a2b30d5057d83fd68d56804e4ad2;51504151289663744722779;51504.15128966374;36100206.276068054;77.55355578230876
0x787a991f96f683dbdaf5ac0c3816009cff8ba958;1473953119025028118;1.4739531190250281;1033.120832120886;0.0022194386777470536
0x248a0771b689efdd1dc44dfd7fbb6f93ec57cd81;92565985917741004263;92.565985917741;64881.20087610665;0.13938335401435178
0x8e47cd48696fd32a8c54326d7ee044fc6e34bc87;1358258659558054863;1.3582586595580548;952.028459036891;0.002045229094804627
0xe02e528a16cb342eb36003adb8bec281203e66aa;266652712512523974735;266.652712512524;186901.78722947044;0.40151843097148887
0x422d7574f0bf8de8e4802320fae2452420bbfb9e;26415204142033285664360;26415.204142033286;18514902.08990637;39.775298818318355
0x3ab056f02a993bd3539a64ab45e831b978d8a124;1155806889534458382;1.1558068895344584;810.1262923998172;0.0017403827038516106
0x5c300dbc6abf06c622b0a043425e158dea14e795;8744900689911388415304;8744.900689911388;6129461.62327864;13.167834562529707
0x6c27510f982a8f1d70fbd3f80c3b31d4d4ac6ce7;128629021083517725031508;128629.02108351773;90158445.05597353;193.6860954318133
0x1c37db8ee00271d0abd6457a19b68770d360ec15;197994313777863772640;197.99431377786377;138777.85362718653;0.29813447408914195
0x2940a6b34be3f9408130f3578e1a55dd0bf7a41f;406;4.06e-16;2.8457286220780906e-13;6.113438016002482e-19
